FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,NONFIN_ASSETS,Attività non finanziarie,VALUATION,Valutazione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q1,94131.2,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q2,92469.7,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q3,94969.2,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q4,99077.9,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q1,95036.4,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q2,94862.2,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q3,93170.8,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q4,94785.9,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q1,95826.3,,
Q,Trimestrale,IT,Italia,P51G_D_W0_S1,Investimenti fissi lordi,N11,Totale capitale fisso per tipo di attività,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q2,96213.1,,
